type_transaction,prix_location,devise_location,prix_vente,description,localisation
A partir de,904 990,CFA/mois *,18 500 000CFA,Mitsubishi Pajero GLS  2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 283 739,CFA/mois *,26 800 000CFA,Hyundai Santa fe 2023,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 300 000CFA,Kia Sportage LX phase 2 2010,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 500 000CFA,Ford Focus 2005,"Cocody, Abidjan, Côte d'Ivoire"
,,,16 800 000CFA,Toyota Rav4 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,10 900 000CFA,Mercedes-benz C 2016,"Cocody, Abidjan, Côte d'Ivoire"
,,,10 800 000CFA,Mercedes-benz C300   2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 500 000CFA,Mercedes-Benz ML 2005,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,681 392,CFA/mois *,13 600 000CFA,Suzuki Fronx 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,462 356,CFA/mois *,8 800 000CFA,Fiat fullback double cabine 2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,5 764 841,CFA/mois *,125 000 000CFA, Range Rover Sport P400 2024,"Abidjan, Côte d'Ivoire"
,,,45 000 000CFA,Toyota Land Cruiser 2019,"Angré, Abidjan, Côte d'Ivoire"
,,,5 500 000CFA,Nissan Juke 2011,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 500 000CFA,BMW X6 2008,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,562 747,CFA/mois *,11 000 000CFA,Suzuki Baleno 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,4 623 986,CFA/mois *,99 999 000CFA,Toyota Land Cruiser GXR  2024,"Abidjan, Côte d'Ivoire"
,,,11 500 000CFA,Mercedes-Benz GLA 250 4Matic 2017 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,12 900 000CFA,Audi Q5  concessionnaire 2016,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,768 093,CFA/mois *,15 500 000CFA,Haval H6 2023,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 500 000CFA,Nissan Rogue 2018,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,1 019 071,CFA/mois *,21 000 000CFA,Hyundai Palissade  2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 000 000CFA,Renault Kangoo 2014,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,950 623,CFA/mois *,19 500 000CFA,Honda CR-V 2022,"Angré, Abidjan, Côte d'Ivoire"
A partir de,1 247 233,CFA/mois *,26 000 000CFA,Mazda CX-5 Skyactiv 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 292 866,CFA/mois *,27 000 000CFA,Hyundai Tucson S-Line 2023,"Cocody, Abidjan, Côte d'Ivoire"
,,,45 000 000CFA,Mercedes-benz g 2016,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 850 000CFA,Hyundai Santa fe 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 350 000CFA,Volkswagen Golf 2005,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 000 000CFA,Kia Optima hybrid 2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 700 000CFA,KIA Morning  2016,"Yopougon, Abidjan, Côte d'Ivoire"
,,,2 900 000CFA,Renault Kwid 2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,1 490 000CFA,Peugeot 308 2009 ,"Angré, Abidjan, Côte d'Ivoire"
,,,9 500 000CFA,Mazda 3 2016,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 700 000CFA,Peugeot 2008 2015,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 566 660,CFA/mois *,33 000 000CFA,Toyota Rav4 10/2024,"Angré, Abidjan, Côte d'Ivoire"
,,,12 500 000CFA,Kia Sportage 2018,"Abidjan, Côte d'Ivoire"
A partir de,676 828,CFA/mois *,13 500 000CFA,Hyundai Santa fe 2021,"Abidjan, Côte d'Ivoire"
,,,7 000 000CFA,BMW 3 series 2017,"Abidjan, Côte d'Ivoire"
,,,1 490 000CFA,Peugeot 308,"Angré, Abidjan, Côte d'Ivoire"
,,,9 000 000CFA,Mazda CX-5 2015,"Angré, Abidjan, Côte d'Ivoire"
,,,6 500 000CFA,Toyota Rav4 2007,"Cocody, Abidjan, Côte d'Ivoire"
,,,12 000 000CFA,Land Rover Range Rover 2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 300 000CFA,Toyota Corolla 2003,"Angré, Abidjan, Côte d'Ivoire"
,,,6 000 000CFA,Dacia Dokker 2018,"Abidjan, Côte d'Ivoire"
,,,38 000 000CFA,Toyota Land Cruiser 2017,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,416 724,CFA/mois *,7 800 000CFA,Toyota Starlet 2023,"Yopougon, Abidjan, Côte d'Ivoire"
,,,16 000 000CFA,Honda CR-V2019,"Yopougon, Abidjan, Côte d'Ivoire"
,,,6 850 000CFA,Mazda 3 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,320 896,CFA/mois *,5 700 000CFA,Suzuki Dzire 2023,"Abidjan, Côte d'Ivoire"
A partir de,2 570 573,CFA/mois *,55 000 000CFA,Tesla modèle Y 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 247 233,CFA/mois *,26 000 000CFA,Ford Explorer 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 000 000CFA,Nissan patrol 2011,"Abidjan, Côte d'Ivoire"
,,,4 900 000CFA,BMW X3 2010 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 087 520,CFA/mois *,22 500 000CFA,Toyota Hilux 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,3 255 059,CFA/mois *,70 000 000CFA,BMW X6 2022,"Abidjan, Côte d'Ivoire"
,,,8 800 000CFA,Peugeot 208 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,13 700 000CFA,Honda CR-V 5 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,651 731,CFA/mois *,12 950 000CFA,Mitsubishi Outlander 2020 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 800 000CFA,Toyota Venza 2010,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 300 000CFA,Opel vivaro 2014,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 950 000CFA,Toyota Rav4 2018,"Abidjan, Côte d'Ivoire"
,,,4 300 000CFA,Toyota Avensis 2006,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 900 000CFA,Toyota Yaris 2006,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 800 000CFA,Peugeot 405 2004,"Koumassi, Abidjan, Côte d'Ivoire"
,,,7 700 000CFA,Hyundai Elantra 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,854 795,CFA/mois *,17 400 000CFA,Kia Sportage 2021,"Abidjan, Côte d'Ivoire"
