type_transaction,prix_location,prix_vente,description,localisation,commune,ville,marque,modele,annee
Location,904990,18500000,mitsubishi pajero gls  2020,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Pajero gls,2020
Location,1283739,26800000,hyundai santa fe 2023,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe,2023
Vente,0,6300000,kia sportage lx phase 2 2010,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage lx phase 2,2010
Vente,0,2500000,ford focus 2005,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Focus,2005
Vente,0,16800000,toyota rav4 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Rav4,2019
Vente,0,10900000,mercedes-benz c 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2016
Vente,0,10800000,mercedes-benz c300   2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2017
Vente,0,4500000,mercedes-benz ml 2005,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2005
Location,681392,13600000,suzuki fronx 2024,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Suzuki,Fronx,2024
Location,462356,8800000,fiat fullback double cabine 2022,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Fiat,Fullback double cabine,2022
Location,5764841,125000000, range rover sport p400 2024,"Abidjan, Côte d'Ivoire",,Abidjan,Range rover,Sport,2024
Vente,0,45000000,toyota land cruiser 2019,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Toyota,Land cruiser,2019
Vente,0,5500000,nissan juke 2011,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Nissan,Juke,2011
Vente,0,6500000,bmw x6 2008,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Bmw,X6,2008
Location,562747,11000000,suzuki baleno 2023,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Suzuki,Baleno,2023
Location,4623986,99999000,toyota land cruiser gxr  2024,"Abidjan, Côte d'Ivoire",,Abidjan,Toyota,Land cruiser,2024
Vente,0,11500000,mercedes-benz gla 250 4matic 2017 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2017
Vente,0,12900000,audi q5  concessionnaire 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Audi,Q5  concessionnaire,2016
Location,768093,15500000,haval h6 2023,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Haval,H6,2023
Vente,0,7500000,nissan rogue 2018,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Nissan,Rogue,2018
Location,1019071,21000000,hyundai palissade  2020,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Palissade,2020
