type_transaction,prix_vente,description,localisation,commune,ville,marque,modele,annee
Vente,6300000,kia sportage lx phase 2 2010,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage lx phase 2,2010
Vente,2500000,ford focus 2005,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Focus,2005
Vente,16800000,toyota rav4 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Rav4,2019
Vente,10900000,mercedes-benz c 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2016
Vente,10800000,mercedes-benz c300   2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2017
Vente,4500000,mercedes-benz ml 2005,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2005
Vente,45000000,toyota land cruiser 2019,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Toyota,Land cruiser,2019
Vente,5500000,nissan juke 2011,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Nissan,Juke,2011
Vente,6500000,bmw x6 2008,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Bmw,X6,2008
Vente,11500000,mercedes-benz gla 250 4matic 2017 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2017
Vente,12900000,audi q5  concessionnaire 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Audi,Q5  concessionnaire,2016
Vente,7500000,nissan rogue 2018,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Nissan,Rogue,2018
Vente,6000000,renault kangoo 2014,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Renault,Kangoo,2014
Vente,45000000,mercedes-benz g 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2016
Vente,9850000,hyundai santa fe 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe,2018
Vente,2350000,volkswagen golf 2005,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Golf,2005
Vente,9000000,kia optima hybrid 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Optima hybrid,2017
Vente,6700000,kia morning  2016,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Kia,Morning,2016
Vente,2900000,renault kwid 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Renault,Kwid,2017
Vente,1490000,peugeot 308 2009 ,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Peugeot,308,2009
Vente,9500000,mazda 3 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2016
Vente,4700000,peugeot 2008 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,2008,2015
Vente,12500000,kia sportage 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Kia,Sportage,2018
Vente,7000000,bmw 3 series 2017,"Abidjan, Côte d'Ivoire",,Abidjan,Bmw,3 series,2017
Vente,1490000,peugeot 308,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Peugeot,Peugeot,inco
Vente,9000000,mazda cx-5 2015,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Mazda,Mazda,2015
Vente,6500000,toyota rav4 2007,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Rav4,2007
Vente,12000000,land rover range rover 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Range rover,Rover range rover,2017
Vente,4300000,toyota corolla 2003,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Toyota,Corolla,2003
Vente,6000000,dacia dokker 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Dacia,Dokker,2018
Vente,38000000,toyota land cruiser 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2017
Vente,16000000,honda cr-v2019,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Honda,Cr-v,2019
Vente,6850000,mazda 3 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2018
Vente,9000000,nissan patrol 2011,"Abidjan, Côte d'Ivoire",,Abidjan,Nissan,Patrol,2011
Vente,4900000,bmw x3 2010 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,X3,2010
Vente,8800000,peugeot 208 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,208,2019
Vente,13700000,honda cr-v 5 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Cr-v 5,2018
Vente,7800000,toyota venza 2010,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Venza,2010
Vente,6300000,opel vivaro 2014,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Opel,Vivaro,2014
Vente,11950000,toyota rav4 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Toyota,Rav4,2018
Vente,4300000,toyota avensis 2006,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Avensis,2006
Vente,2900000,toyota yaris 2006,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Yaris,2006
Vente,2800000,peugeot 405 2004,"Koumassi, Abidjan, Côte d'Ivoire",Koumassi,Abidjan,Peugeot,405,2004
Vente,7700000,hyundai elantra 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2018
Vente,3750000,peugeot 308 année 2014 full options ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,Peugeot,2014
Vente,5950000,volkswagen touareg  2006 phase 2,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Touareg,2006
Vente,11500000,kia sorento 2019 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sorento,2019
Vente,14000000,mercedes-benz c400 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2018
Vente,10900000,peugeot 3008 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,3008,2018
Vente,13500000,mitsubishi eclipse cross  2019,"Abidjan, Côte d'Ivoire",,Abidjan,Mitsubishi,Eclipse cross,2019
Vente,4350000,kia rio berline 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Rio berline,2015
Vente,3400000,toyota verossa 2002,"Koumassi, Abidjan, Côte d'Ivoire",Koumassi,Abidjan,Toyota,Verossa,2002
Vente,5950000,volkswagen touareg  2006 phase 2,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Touareg,2006
Vente,5950000,volkswagen touareg  2006 phase 2,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Touareg,2006
Vente,5950000,volkswagen touareg  2006 phase 2,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Touareg,2006
